record_id,municipality_name,construction_cost,units,fees,square_feet,volume
23003173,EAST BRUNSWICK,126357,2,3504,1764,21616
23003174,EAST BRUNSWICK,128357,2,4746,2079,25410
23003175,EAST BRUNSWICK,126357,2,3769,2079,25410
23003176,EAST BRUNSWICK,126357,2,3554,1764,21616
23003178,EAST BRUNSWICK,126357,2,3501,1764,21616
23003179,EAST BRUNSWICK,128057,2,4744,2079,25410
24000280,EAST BRUNSWICK,55491100,308,786591,616306,7761462
24000389,EAST BRUNSWICK,569500,2,10227,4206,98116
24000840,EAST BRUNSWICK,326000,1,9439,4848,85602
24001243,EAST BRUNSWICK,722300,2,11004,6354,64000
24001359,EAST BRUNSWICK,489800,2,8428,4146,42000
24001783,EAST BRUNSWICK,275600,2,10483,6218,92046
24001784,EAST BRUNSWICK,88601,2,9160,6469,79255
24001950,EAST BRUNSWICK,427002,2,8723,4761,82634
24002231,EAST BRUNSWICK,296600,1,10796,4793,93833
10000924,EDISON,254500,1,4516,2661,46773
10001328,EDISON,2444600,1,36995,15500,241396
10001387,EDISON,216700,1,5965,2536,63175
10001670,EDISON,201000,1,4170,2875,37454
10001787,EDISON,419000,1,4425,3294,33300
10001791,EDISON,319500,1,7844,4957,115326
10001994,EDISON,505700,1,9711,5555,100768
10002845,EDISON,440000,1,4252,1983,33508
10003323,EDISON,3196700,16,68408,26796,720310
10004233,EDISON,597175,1,5581,4554,70299
10004542,EDISON,222500,1,3986,3568,32580
10004565,EDISON,535990,1,8703,3561,85330
10004586,EDISON,534000,1,5023,4103,41036
10004693,EDISON,618000,1,8397,6774,133847
10005171,EDISON,197000,1,6081,3634,61898
10005293,EDISON,164500,1,4993,2365,48246
10005294,EDISON,164500,1,4737,2579,39717
10005295,EDISON,164500,1,4411,3101,33230
10005296,EDISON,164500,1,4729,3178,39490
10005297,EDISON,164500,1,4654,3084,39490
10005298,EDISON,234700,1,4469,2568,42333
10005507,EDISON,211000,1,5468,3499,58861
10005972,EDISON,278000,1,5152,1965,65789
10006403,EDISON,620600,1,8138,5845,121373
10006404,EDISON,494000,1,10694,5903,122159
10006420,EDISON,245000,1,6089,5129,46165
10006489,EDISON,310500,1,6912,4480,88928
10006500,EDISON,226500,1,7026,2036,91352
10006507,EDISON,442000,1,6040,4998,81630
10006519,EDISON,222100,1,6976,4395,92526
10006536,EDISON,178000,1,3288,2780,30561
10006664,EDISON,632450,8,27966,8319,113840
10007027,EDISON,316930,1,6844,4346,48172
10007048,EDISON,630500,1,7036,5096,92371
10007065,EDISON,542000,1,6397,4131,73943
10007084,EDISON,267000,1,5941,3590,63565
10007265,EDISON,471000,1,6461,3994,74179
10007420,EDISON,295000,1,7093,4789,17121
10007506,EDISON,337000,1,5459,3685,59659
10007530,EDISON,193000,1,4182,2567,28851
10007531,EDISON,203000,1,5440,3046,54763
10007532,EDISON,193000,1,4353,2559,28736
10007533,EDISON,203000,1,5182,3050,47580
10007541,EDISON,145000,1,5981,4230,68743
10007558,EDISON,542000,1,5215,3990,44193
10008199,EDISON,467000,1,6176,4100,77900
10008258,EDISON,337000,1,6323,4030,75000
10008643,EDISON,567350,1,5081,3242,57122
10008760,EDISON,166500,1,4194,2260,19080
10008803,EDISON,401000,1,4424,2695,36396
10008814,EDISON,325775,1,6077,3581,69019
10009148,EDISON,230300,1,5341,5408,67720
10009342,EDISON,667000,1,6732,4935,79633
10009376,EDISON,302000,1,5494,4073,63146
10009457,EDISON,2390400,12,40205,15500,241396
10009773,EDISON,117000,1,5473,4770,59277
10009801,EDISON,168000,1,4922,3051,43449
10010148,EDISON,402200,1,4814,3416,52657
10010150,EDISON,388600,1,4978,3548,58964
10010447,EDISON,223000,1,5074,4019,38453
10010495,EDISON,502000,1,6647,4116,85826
10010497,EDISON,697000,1,8251,4900,118348
